run,profile,verifier_ns,full_flow_ns
129,Full PQ (ML-KEM-768 / ML-DSA-65),97803,28488184
130,Full PQ (ML-KEM-768 / ML-DSA-65),97682,25888522
131,Full PQ (ML-KEM-768 / ML-DSA-65),99235,28094674
132,Full PQ (ML-KEM-768 / ML-DSA-65),98674,27763474
133,Full PQ (ML-KEM-768 / ML-DSA-65),97231,26049953
134,Full PQ (ML-KEM-768 / ML-DSA-65),105377,28502241
135,Full PQ (ML-KEM-768 / ML-DSA-65),98353,26976808
136,Full PQ (ML-KEM-768 / ML-DSA-65),98233,29569589
137,Full PQ (ML-KEM-768 / ML-DSA-65),99756,27985208
138,Full PQ (ML-KEM-768 / ML-DSA-65),113913,25803193
139,Full PQ (ML-KEM-768 / ML-DSA-65),97372,25811689
140,Full PQ (ML-KEM-768 / ML-DSA-65),98133,26370680
141,Full PQ (ML-KEM-768 / ML-DSA-65),97141,26230549
142,Full PQ (ML-KEM-768 / ML-DSA-65),97913,27006374
143,Full PQ (ML-KEM-768 / ML-DSA-65),97832,26302093
144,Full PQ (ML-KEM-768 / ML-DSA-65),98433,26692950
145,Full PQ (ML-KEM-768 / ML-DSA-65),97371,26344792
146,Full PQ (ML-KEM-768 / ML-DSA-65),98113,27665843
147,Full PQ (ML-KEM-768 / ML-DSA-65),97933,26380859
148,Full PQ (ML-KEM-768 / ML-DSA-65),106378,26309916
149,Full PQ (ML-KEM-768 / ML-DSA-65),99135,28938626
150,Full PQ (ML-KEM-768 / ML-DSA-65),98213,28432300
151,Full PQ (ML-KEM-768 / ML-DSA-65),98433,26423729
152,Full PQ (ML-KEM-768 / ML-DSA-65),97502,27608536
153,Full PQ (ML-KEM-768 / ML-DSA-65),98554,26657895
154,Full PQ (ML-KEM-768 / ML-DSA-65),98423,28054206
155,Full PQ (ML-KEM-768 / ML-DSA-65),99054,26575221
156,Full PQ (ML-KEM-768 / ML-DSA-65),101759,27351848
157,Full PQ (ML-KEM-768 / ML-DSA-65),98563,27640195
158,Full PQ (ML-KEM-768 / ML-DSA-65),98514,27319878
159,Full PQ (ML-KEM-768 / ML-DSA-65),97101,26913250
160,Full PQ (ML-KEM-768 / ML-DSA-65),97512,26392240
161,Full PQ (ML-KEM-768 / ML-DSA-65),98814,26954841
162,Full PQ (ML-KEM-768 / ML-DSA-65),129311,27621821
163,Full PQ (ML-KEM-768 / ML-DSA-65),99495,26122878
164,Full PQ (ML-KEM-768 / ML-DSA-65),97682,26921927
165,Full PQ (ML-KEM-768 / ML-DSA-65),118040,28081728
166,Full PQ (ML-KEM-768 / ML-DSA-65),99967,28237428
167,Full PQ (ML-KEM-768 / ML-DSA-65),98684,27501737
168,Full PQ (ML-KEM-768 / ML-DSA-65),98003,26094706
169,Full PQ (ML-KEM-768 / ML-DSA-65),141764,27700857
170,Full PQ (ML-KEM-768 / ML-DSA-65),97873,27022183
171,Full PQ (ML-KEM-768 / ML-DSA-65),97392,27111139
172,Full PQ (ML-KEM-768 / ML-DSA-65),98073,26374748
173,Full PQ (ML-KEM-768 / ML-DSA-65),98283,27357929
174,Full PQ (ML-KEM-768 / ML-DSA-65),97632,26292334
175,Full PQ (ML-KEM-768 / ML-DSA-65),98323,26389876
176,Full PQ (ML-KEM-768 / ML-DSA-65),98603,26490292
177,Full PQ (ML-KEM-768 / ML-DSA-65),97993,27151976
178,Full PQ (ML-KEM-768 / ML-DSA-65),98724,26458203
179,Full PQ (ML-KEM-768 / ML-DSA-65),97311,27459398
180,Full PQ (ML-KEM-768 / ML-DSA-65),99204,26632578
181,Full PQ (ML-KEM-768 / ML-DSA-65),99055,26639651
182,Full PQ (ML-KEM-768 / ML-DSA-65),98654,27592626
183,Full PQ (ML-KEM-768 / ML-DSA-65),96851,26126676
184,Full PQ (ML-KEM-768 / ML-DSA-65),97842,26573388
185,Full PQ (ML-KEM-768 / ML-DSA-65),113782,27217537
186,Full PQ (ML-KEM-768 / ML-DSA-65),97732,26207135
187,Full PQ (ML-KEM-768 / ML-DSA-65),99435,27974788
188,Full PQ (ML-KEM-768 / ML-DSA-65),97382,26510751
189,Full PQ (ML-KEM-768 / ML-DSA-65),97251,25702375
190,Full PQ (ML-KEM-768 / ML-DSA-65),98132,27026671
191,Full PQ (ML-KEM-768 / ML-DSA-65),98172,26171790
192,Full PQ (ML-KEM-768 / ML-DSA-65),98905,26527132
193,Full PQ (ML-KEM-768 / ML-DSA-65),98283,27933902
194,Full PQ (ML-KEM-768 / ML-DSA-65),98363,26502446
195,Full PQ (ML-KEM-768 / ML-DSA-65),97512,26183602
196,Full PQ (ML-KEM-768 / ML-DSA-65),99264,27106331
197,Full PQ (ML-KEM-768 / ML-DSA-65),97923,26089506
198,Full PQ (ML-KEM-768 / ML-DSA-65),97462,26286032
199,Full PQ (ML-KEM-768 / ML-DSA-65),106358,26997488
200,Full PQ (ML-KEM-768 / ML-DSA-65),97421,26723307
